age,males,females
0,1583,1138
1,108,92
2,59,44
3,47,41
4,43,26
5,28,24
6,31,24
7,35,29
8,24,27
9,29,23
10,35,18
11,37,17
12,29,22
13,33,37
14,32,35
15,59,50
16,64,49
17,100,50
18,142,70
19,169,79
20,167,74
21,181,62
22,191,71
23,209,94
24,222,79
25,255,89
26,205,110
27,230,97
28,244,111
29,237,147
30,248,146
31,258,139
32,358,172
33,328,167
34,365,190
35,372,218
36,415,248
37,383,246
38,434,266
39,456,288
40,518,327
41,571,322
42,664,429
43,691,426
44,800,495
45,818,566
46,910,634
47,1046,644
48,1064,723
49,1223,777
50,1425,881
51,1359,929
52,1422,1011
53,1543,1120
54,1615,1153
55,1776,1186
56,1913,1256
57,2055,1319
58,2090,1383
59,2145,1570
60,2465,1693
61,2646,1772
62,2802,1929
63,3103,2096
64,3402,2185
65,3640,2467
66,4050,2790
67,4676,3234
68,5284,3844
69,4696,3297
70,5012,3620
71,5467,3954
72,5586,4001
73,5470,4222
74,5730,4323
75,6380,4828
76,6915,5429
77,7320,5704
78,7461,6167
79,7847,6741
80,8281,7382
81,8259,7897
82,8821,8413
83,9249,9286
84,9323,10197
85,9395,10581
86,9039,10810
87,8515,10977
88,8303,11265
89,7650,11346
90,7134,11306
91,6386,10693
92,5417,10288
93,4753,9756
94,4173,9360
95,3021,7633
96,1664,4635
97,1139,3535
98,892,3030
99,631,2438
100,1117,5264
