earnings,yr1950,yr1951,yr1952,yr1953,yr1954,yr1955,yr1956,yr1957,yr1958,yr1959,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967
Jan,15398,14382,13968,15900,16282,17262,13651,13894,12940,15430,15596,12310,12345,12113,12478,15945,17012,14392
Feb,21642,17894,22829,20870,21989,22902,19898,19954,20777,18972,21163,18020,18568,19687,20970,22461,22253,20617
Mar,49860,77291,69832,56840,57651,60532,73573,76244,68912,67028,52185,54118,70012,65509,64266,60136,62620,69246
Apr,31408,14258,22291,30228,28907,31567,21113,19034,21229,20121,30016,32733,16540,16604,22671,27312,30535,26996
May,18324,17574,17696,18822,14519,16474,15529,12150,17434,17142,13447,16623,13722,13943,18841,17470,16880,17199
Jun,30994,34550,29502,28073,30938,26722,32179,34620,27548,26018,29432,26813,32810,33017,26985,28739,26689,25925
Jul,37323,33021,31298,32841,38349,38207,30144,28458,27900,27390,33131,31282,26148,26775,27448,32285,32876,32267
Aug,35140,35320,37588,38255,30360,30981,34503,38192,37115,35601,29414,30822,29722,36874,35388,31069,31591,32520
Sep,42365,42971,34525,34518,35796,37503,42276,36967,36683,39600,41035,50263,51807,47336,48322,50351,50561,62243
Oct,21700,21110,20431,23155,23313,26100,21158,21817,24005,32649,36503,31897,34999,38125,44573,47572,52785,42826
Nov,16900,15759,18153,15475,15691,16394,15947,18199,19048,15548,15461,15899,15761,19293,16689,17166,16986,17407
Dec,37436,36494,31195,30021,27936,33274,32973,27374,26322,24627,26231,25898,25298,22053,20676,20621,23709,24414
