date,out of term,term time
0,2095,2104
1,1848,1848
2,1806,1805
3,1761,1759
4,1735,1735
5,1606,1607
6,1518,1519
7,1422,1419
8,1429,1443
9,1367,1418
10,1310,1370
11,1341,1457
12,1355,1456
13,1334,1420
14,1338,1411
15,1329,1410
16,1346,1507
17,1464,1693
18,1647,3023
19,2047,5279
20,2381,5849
21,2429,5346
22,2579,4244
23,2873,3683
24,2941,3432
25,3337,3678
26,3237,3487
27,3260,3421
28,3198,3340
29,3089,3170
30,2767,2831
31,2687,2726
32,2486,2526
33,2467,2489
34,2276,2291
35,1967,1978
36,1928,1938
37,1868,1875
38,1918,1922
39,1907,1910
40,1779,1782
41,1829,1832
42,1783,1791
43,1777,1779
44,1668,1670
45,1759,1761
46,1711,1717
47,1802,1805
48,1663,1666
49,1547,1545
50,1443,1445
51,1481,1482
52,1388,1393
53,1366,1365
54,1337,1342
55,1263,1265
56,1198,1197
57,1290,1291
58,1225,1229
59,1166,1166
60,1212,1214
61,1193,1195
62,1174,1175
63,1149,1149
64,1189,1191
65,911,915
66,1026,1025
67,941,943
68,893,895
69,804,805
70,747,748
71,804,806
72,769,770
73,729,729
74,716,716
75,655,655
76,652,653
77,579,579
78,597,597
79,582,582
80,592,594
81,520,520
82,504,505
83,463,463
84,443,443
85,2695,2697
